date,software,version,usage_minutes
2024-09-10,elasticsearch,7.8.7,154
2024-11-17,python,3.3.3,17
2024-06-14,java,11.0.8,325
2024-08-25,elasticsearch,7.9.3,220
2025-03-20,postgres,13.2.4,138
2025-01-21,nginx,1.3.2,107
2025-04-23,java,11.3.6,242
2024-09-20,postgres,13.1.6,18
2024-11-17,elasticsearch,7.0.6,477
2024-07-01,postgres,13.8.9,323
2024-07-31,redis,6.5.9,9
2024-11-15,docker,20.7.3,431
2024-08-04,java,11.6.5,48
2024-08-30,mysql,8.1.1,337
2024-08-20,java,11.8.0,334
2024-09-13,java,11.6.7,347
2024-07-11,elasticsearch,7.2.8,259
2024-05-31,nginx,1.7.6,328
2024-11-30,python,3.7.8,60
2024-10-16,postgres,13.9.0,142
2025-05-22,nginx,1.1.8,45
2025-05-29,mysql,8.8.8,239
2024-07-29,docker,20.2.6,416
2024-11-01,elasticsearch,7.1.9,156
2024-11-10,node,16.7.1,383
2025-02-28,elasticsearch,7.6.5,220
2024-07-07,mongodb,4.2.9,59
2024-11-11,redis,6.6.2,461
2024-11-12,python,3.7.5,148
2025-02-28,postgres,13.7.3,305
2025-03-26,mysql,8.8.4,37
2025-02-28,redis,6.0.3,277
2025-04-25,python,3.9.8,389
2024-11-09,python,3.5.3,464
2024-08-28,docker,20.1.7,404
2024-08-14,docker,20.2.5,25
2025-03-22,nginx,1.1.7,233
2025-04-11,java,11.1.1,40
2025-01-02,java,11.1.2,310
2024-08-30,redis,6.5.4,457
2024-07-07,docker,20.4.6,76
2024-06-07,mongodb,4.2.5,63
2024-06-07,node,16.3.6,387
2024-11-14,python,3.4.4,75
2024-11-10,redis,6.2.0,56
2024-09-21,node,16.8.3,470
2025-04-26,docker,20.2.7,115
2024-12-26,mongodb,4.9.7,435
2024-07-05,docker,20.5.1,463
2024-09-17,mysql,8.7.7,206
2025-04-27,nginx,1.6.0,154
2025-05-17,redis,6.9.9,384
2024-10-23,docker,20.0.6,466
2024-06-29,mysql,8.7.2,132
2025-02-08,docker,20.5.5,335
2024-07-04,java,11.8.5,176
2024-12-23,java,11.7.7,229
2025-02-25,docker,20.1.8,217
2024-07-15,python,3.9.3,17
2025-05-27,mysql,8.0.0,90
2024-09-04,redis,6.1.3,303
2025-05-27,redis,6.5.9,220
2024-06-16,java,11.4.8,289
2025-03-12,elasticsearch,7.0.3,262
2024-09-18,node,16.1.7,189
2024-07-08,mongodb,4.9.3,439
2025-05-18,python,3.4.5,87
